,episode,score,avg_score,epsilon
0,0,-197.61332909124042,-197.61332909124042,0.99996
1,1,-97.66667907043521,-147.6400040808378,0.9985399999999985
2,2,-40.55094931546897,-111.94365249238153,0.9972399999999972
3,3,-12.874105577747912,-87.17626576372312,0.994959999999995
4,4,-116.48238418448594,-93.03748944787569,0.9926999999999927
5,5,-138.7989645636419,-100.66440196717006,0.991039999999991
6,6,-92.88695978304872,-99.55333879800988,0.9893799999999894
7,7,-35.661974138429585,-91.56691821556234,0.9881999999999882
8,8,-75.7727252035029,-89.81200788088907,0.987019999999987
9,9,-303.1015301798621,-111.14096011078637,0.9846599999999847
10,10,-484.69354564837124,-145.1002860687486,0.9828599999999829
11,11,-228.6271766864382,-152.0608602868894,0.981039999999981
12,12,-317.64241048598603,-164.79790260989682,0.9794999999999795
13,13,-67.94130583650669,-157.8795742689404,0.9781599999999782
14,14,-100.40712801058949,-154.048077851717,0.9764799999999765
15,15,-292.07558457323887,-162.67479702181214,0.9743599999999744
16,16,-127.31657583363352,-160.59490165780164,0.9723199999999723
17,17,-130.15287727371765,-158.90367808090807,0.9704799999999705
18,18,-218.5868482306513,-162.0448975624735,0.9690599999999691
19,19,-394.1930985227999,-173.65230761048983,0.966999999999967
20,20,-184.84192492068175,-174.1851465300228,0.9645599999999646
21,21,-103.13517835721423,-170.95560252216785,0.9621599999999622
22,22,-457.82068010534886,-183.42799719969744,0.9602399999999602
23,23,-31.355388206627232,-177.09163849165284,0.9588199999999588
24,24,-77.6758168294275,-173.11500562516383,0.9571799999999572
25,25,-318.75052020966575,-178.71637157072158,0.9554599999999555
26,26,-89.73388778995131,-175.42072402328563,0.9535199999999535
27,27,35.57002674270558,-167.8853400673574,0.9514599999999515
28,28,-78.32964086614162,-164.79721250869477,0.95001999999995
29,29,-211.80906413115966,-166.36427422944362,0.9485199999999485
30,30,-87.46396121907217,-163.81910284201228,0.9468199999999468
31,31,-104.03186336492719,-161.9507516083534,0.9452999999999453
32,32,-227.07765189914178,-163.92429404140756,0.9427399999999427
