,episode,score,avg_score,epsilon
0,0,-219.6534264156808,-219.6534264156808,0.998999999999999
1,1,-29.89965101416614,-124.77653871492348,0.9964999999999965
2,2,-120.00794246100365,-123.18700663028353,0.9944999999999945
3,3,-103.50286857284712,-118.26597211592443,0.9924399999999924
4,4,-77.62453059091416,-110.13768381092237,0.9908999999999909
5,5,-187.0907646996745,-122.96319729238105,0.9888999999999889
6,6,-77.1491990890964,-116.41834040619754,0.9875599999999876
7,7,-223.7775038346394,-129.83823583475277,0.9854199999999854
8,8,-409.82023603902246,-160.9473469685605,0.9834799999999835
9,9,-365.019156973549,-181.35452796905935,0.9812999999999813
10,10,-369.65812287057696,-198.47303659647002,0.9789399999999789
11,11,-76.42451406278767,-188.30232638532982,0.9775799999999776
12,12,-108.59186336672232,-182.1707523069754,0.9751399999999751
