,episode,score,avg_score,epsilon
0,0,-78.7678562015534,-78.7678562015534,1.0
1,1,-150.54654119134182,-114.65719869644761,1.0
2,2,-128.18589296231988,-119.16676345173836,1.0
3,3,-86.24570875341828,-110.93649977715835,0.9939000000000007
4,4,-146.05288341106663,-117.95977650393999,0.9869000000000014
5,5,-354.2649511816519,-157.34397228355866,0.9759000000000027
6,6,-136.24655536684023,-154.33005558117028,0.9667000000000037
7,7,-299.64047053642213,-172.4938574505768,0.9557000000000049
8,8,-61.949155470345616,-160.21111278610667,0.9485000000000057
9,9,-98.0328339971527,-153.99328490721126,0.9387000000000068
10,10,-67.91881520811842,-146.16833311638464,0.9307000000000076
11,11,-254.2452890396244,-155.17474610998795,0.9192000000000089
12,12,-63.74923566170378,-148.14201453704302,0.9110000000000098
13,13,-90.92430242701147,-144.0550351006122,0.9037000000000106
14,14,-82.84727972460433,-139.974518075545,0.8973000000000113
15,15,-83.77486705970728,-136.46203988705514,0.8877000000000124
16,16,-276.64724760734816,-144.70822857648415,0.8783000000000134
17,17,-87.06217542585074,-141.50567006811562,0.8722000000000141
18,18,-78.2314490097324,-138.17544790714808,0.8600000000000154
19,19,-208.08399819614024,-141.6708754215977,0.8499000000000165
20,20,-139.09544928717438,-141.54823608186325,0.8412000000000175
21,21,-73.02286701117951,-138.43344657865035,0.8350000000000182
22,22,-204.89278167132255,-141.32298288702742,0.827300000000019
23,23,-170.84507346125238,-142.55306999428677,0.8177000000000201
24,24,-335.09035724199424,-150.25456148419508,0.8085000000000211
25,25,-98.74201983378501,-148.27330988225623,0.7982000000000222
26,26,-106.43072224910831,-146.72358441436185,0.7863000000000235
27,27,-119.75722145949403,-145.76050002311658,0.7758000000000247
28,28,-40.03265737411857,-142.1147123455649,0.7665000000000257
29,29,-103.29097366424185,-140.82058772285413,0.7588000000000266
30,30,15.925705916221517,-135.7642556699807,0.7487000000000277
31,31,-137.44227657996566,-135.81669382341778,0.7399000000000286
32,32,-181.97054288688105,-137.2152953101894,0.7303000000000297
33,33,-86.47733109399697,-135.72300224500728,0.7212000000000307
34,34,-263.21141181455346,-139.36552823270858,0.7132000000000316
35,35,-399.9170747533345,-146.60307119161487,0.7026000000000328
36,36,-24.340217445009017,-143.2986697390039,0.6942000000000337
37,37,-104.43613148619028,-142.27597136392987,0.6862000000000346
38,38,-212.00499694187792,-144.06389509669776,0.6785000000000354
39,39,-121.99265978822105,-143.51211421398585,0.6694000000000364
40,40,-255.87021959702795,-146.25255580869418,0.6611000000000373
41,41,-108.00597520456579,-145.3419229371673,0.6513000000000384
42,42,-199.57029923048742,-146.60304796724452,0.6399000000000397
43,43,-181.53474510491475,-147.39695017491886,0.6308000000000407
44,44,-93.30734336929972,-146.19495891257176,0.6240000000000414
45,45,-136.4188582444936,-145.98243498500486,0.6154000000000424
46,46,-128.2579821856341,-145.60531896799696,0.6077000000000432
47,47,-108.42028735207431,-144.8306308093319,0.600000000000044
48,48,-175.23475100811476,-145.45112305828664,0.5923000000000449
49,49,-266.9736622938633,-147.8815738429982,0.5838000000000458
50,50,-261.4841163141582,-150.10907467576604,0.5752000000000468
51,51,-120.34992925169988,-149.5367834176109,0.5677000000000476
52,52,-142.98720079698757,-149.4132063870331,0.5590000000000486
53,53,-190.34220277446695,-150.1711507645782,0.5506000000000495
54,54,-104.64470589772066,-149.34339722154442,0.5438000000000502
55,55,-142.85606735050158,-149.2275520452758,0.5377000000000509
56,56,-114.84827413813049,-148.62440681883464,0.5301000000000518
57,57,-120.9269247114587,-148.14686402387989,0.5231000000000525
58,58,-139.53885452466915,-148.00096555779157,0.5168000000000532
59,59,-83.91042368891542,-146.93278985997696,0.509800000000054
60,60,-77.87859252572758,-145.80075383810401,0.5041000000000546
61,61,-113.13321856998462,-145.27385810797307,0.4977000000000553
62,62,-21.472671852706938,-143.30875991344504,0.4862000000000566
63,63,-143.13354479845555,-143.30602217727332,0.47930000000005735
64,64,-100.15845812961925,-142.6422134996171,0.47400000000005793
65,65,-119.4817435281888,-142.2912972879288,0.46670000000005873
66,66,-133.55822538644367,-142.16095293119022,0.4598000000000595
67,67,-124.52432537385697,-141.90159076122944,0.4515000000000604
68,68,-129.50450017928955,-141.72192278178102,0.44370000000006127
69,69,-104.05773374047965,-141.18386293833387,0.4380000000000619
70,70,18.565236035589393,-138.933875628842,0.43010000000006277
71,71,-189.00268599903097,-139.62927577287238,0.4226000000000636
72,72,-251.57491325602763,-141.16277765620328,0.4151000000000644
73,73,-200.1594589687314,-141.96003010637259,0.4051000000000655
74,74,-114.51181929435543,-141.59405396221234,0.39570000000006655
75,75,-211.08813840239173,-142.50844981010945,0.3880000000000674
76,76,-105.86164273169243,-142.03251725064948,0.3780000000000685
77,77,-198.57097689897128,-142.75736929742283,0.37020000000006936
78,78,-167.3968854756672,-143.06926190727404,0.36320000000007013
79,79,-114.68818944999802,-142.7144985015581,0.35500000000007104
80,80,-141.61893411777353,-142.70097301533855,0.34860000000007174
81,81,-286.05934632171034,-144.44924586053818,0.33860000000007284
82,82,-142.07569615269847,-144.42064887610638,0.3327000000000735
83,83,-198.23115731330006,-145.06125016702535,0.3255000000000743
84,84,-8.325064277512098,-143.4525891565605,0.31780000000007513
85,85,-144.80258138760112,-143.46828674064236,0.3110000000000759
86,86,-140.554210118902,-143.43479160705914,0.3025000000000768
87,87,-98.04468106532336,-142.9189948963576,0.29480000000007767
88,88,-120.16419182731109,-142.66332295176156,0.2871000000000785
89,89,-110.00572209561285,-142.30046072002656,0.28060000000007923
90,90,-96.16804730903043,-141.79351112210352,0.27390000000007997
91,91,-116.39155504582276,-141.5174029038831,0.2681000000000806
92,92,-230.4824350563111,-142.4740161528339,0.2589000000000816
93,93,45.89712899075002,-140.47006780024262,0.2511000000000825
94,94,-112.30382948126777,-140.1735810810955,0.2419000000000835
95,95,-142.30745431333906,-140.19580892726472,0.2363000000000841
96,96,-134.0756975225005,-140.13271499525686,0.22700000000008513
97,97,-193.20345490358505,-140.67425315758675,0.21750000000008618
98,98,-123.39866167274228,-140.4997522334974,0.21050000000008695
99,99,-87.36220607469701,-139.9683767719094,0.20490000000008757
100,100,-134.26340167378854,-140.5233322266317,0.19860000000008826
101,101,-108.00947369027541,-140.09796155162107,0.1928000000000889
102,102,-117.86280844275291,-139.99473070642537,0.18570000000008968
103,103,-139.31174087709059,-140.52539102766212,0.17810000000009052
104,104,-142.3221062487031,-140.4880832560385,0.16980000000009143
105,105,-196.498154928766,-138.9104152935096,0.1591000000000926
106,106,-95.17758054408318,-138.49972554528205,0.15320000000009326
107,107,-90.09365868142505,-136.40425742673207,0.14760000000009388
108,108,-132.28694855971736,-137.1076353576258,0.1410000000000946
109,109,-169.0402965261369,-137.81770998291563,0.1319000000000956
110,110,-126.44128903627258,-138.40293472119717,0.12300000000009631
111,111,-172.50976518238156,-137.58557948262475,0.11630000000009612
112,112,-87.00765074412745,-137.818163633449,0.11090000000009596
113,113,-113.96164848441582,-138.04853709402306,0.10360000000009575
114,114,-157.73626211282345,-138.79742691790523,0.09500000000009551
115,115,-62.94564564160848,-138.58913470372426,0.08930000000009534
116,116,-114.36130608357803,-136.96627528848651,0.08360000000009518
117,117,-161.39613193267434,-137.70961485355477,0.07770000000009501
118,118,-107.04023979783292,-137.99770276143576,0.07110000000009482
119,119,-98.8138815709719,-136.90500159518407,0.06560000000009467
120,120,-127.16287145893972,-136.78567581690174,0.059300000000094485
121,121,-107.84757120686623,-137.13392285885863,0.05140000000009426
122,122,-134.2503195423036,-136.42749823756844,0.04540000000009409
123,123,-124.99894001465003,-135.96903690310242,0.04000000000009393
124,124,-123.19765444222571,-133.8501098751047,0.03400000000009376
125,125,-138.6060117435814,-134.24874979420267,0.027200000000093708
126,126,-161.07624014628846,-134.79520497317446,0.019600000000093754
127,127,-115.02383848794037,-134.74787114345895,0.011600000000093803
128,128,-119.16703014089678,-135.53921487112675,0.01
129,129,-132.9889453277799,-135.83619458776212,0.01
130,130,-124.17782246438473,-137.23722987156816,0.01
131,131,-195.27571322807964,-137.8155642380493,0.01
132,132,-86.3390173481133,-136.85924898266163,0.01
133,133,19.9172710958032,-135.79530296076365,0.01
134,134,-118.36002692776522,-134.34678911189576,0.01
135,135,-203.40175545087766,-132.38163591887115,0.01
136,136,-122.89174363771811,-133.36715118079826,0.01
137,137,-114.08540127322654,-133.46364387866862,0.01
138,138,-106.34916201362681,-132.4070855293861,0.01
139,139,-128.36038512786888,-132.4707627827826,0.01
140,140,-124.77802789799325,-131.15984086579226,0.01
141,141,-131.04830230499613,-131.39026413679656,0.01
142,142,-145.06692449752245,-130.84523038946688,0.01
143,143,-146.04979639510094,-130.49038090236877,0.01
144,144,-122.59575512581159,-130.78326501993385,0.01
145,145,-145.71212038171063,-130.87619764130605,0.01
146,146,-98.89573764576575,-130.58257519590737,0.01
147,147,-153.35026565204961,-131.03187497890715,0.01
148,148,-106.47205888698568,-130.34424805769584,0.01
149,149,-131.26673794094847,-128.98717881416667,0.01
150,150,-108.45013225450698,-127.45683897357017,0.01
151,151,-102.54089462276501,-127.27874862728083,0.01
152,152,-207.97054080960083,-127.92858202740697,0.01
153,153,286.79775915460357,-123.15718240811626,0.01
154,154,-120.87413953361484,-123.3194767444752,0.01
155,155,-119.2113824797411,-123.0830298957676,0.01
156,156,-127.46595884412726,-123.20920674282753,0.01
157,157,-144.8448869845506,-123.44838636555848,0.01
158,158,-36.355499559667464,-122.41655281590847,0.01
159,159,-118.25000296183082,-122.75994860863763,0.01
160,160,-107.33003536233473,-123.0544630370037,0.01
161,161,-110.0232791030725,-123.02336364233457,0.01
162,162,-130.818685586759,-124.11682377967509,0.01
163,163,-117.99555310785192,-123.86544386276906,0.01
164,164,-134.1647614675872,-124.20550689614873,0.01
165,165,-166.7782185861473,-124.67847164672833,0.01
166,166,-138.2526648315325,-124.72541604117922,0.01
167,167,-157.2512185960492,-125.05268497340114,0.01
168,168,-176.14228802632965,-125.51906285187151,0.01
169,169,-150.83406885638738,-125.98682620303062,0.01
170,170,-172.22291880560388,-127.89470775144255,0.01
171,171,-112.15419712335847,-127.12622286268581,0.01
172,172,-116.876613723412,-125.77923986735966,0.01
173,173,-118.56642885402796,-124.96330956621264,0.01
174,174,-270.0236684062928,-126.518428057332,0.01
175,175,-162.85672970801494,-126.03611397038823,0.01
176,176,-154.528315637225,-126.52278069944356,0.01
177,177,-93.08833620106722,-125.46795429246451,0.01
178,178,-146.61952412530937,-125.26018067896094,0.01
179,179,-134.46845613513395,-125.45798334581228,0.01
180,180,-87.2700371469469,-124.91449437610403,0.01
181,181,-117.16145982752626,-123.2255155111622,0.01
182,182,-125.64467404274097,-123.06120529006263,0.01
183,183,-114.15817370333924,-122.22047545396303,0.01
184,184,-139.78353329143437,-123.53506014410223,0.01
185,185,-100.06829780694262,-123.08771730829567,0.01
186,186,-86.61277671578789,-122.54830297426452,0.01
187,187,-105.43973235323212,-122.62225348714361,0.01
188,188,-116.0986890468295,-122.58159845933878,0.01
189,189,-114.1195845453541,-122.62273708383621,0.01
190,190,-97.96667632905789,-122.64072337403645,0.01
191,191,-138.1445078620049,-122.85825290219832,0.01
192,192,-141.32367290416278,-121.96666528067679,0.01
193,193,-125.3705695832115,-123.67934226641641,0.01
194,194,-135.69872301187027,-123.91329120172246,0.01
195,195,-136.38159633722148,-123.85403262196127,0.01
196,196,-121.91841337654806,-123.73245978050176,0.01
197,197,-112.04954786597376,-122.92092071012564,0.01
198,198,-147.44675626165935,-123.1614016560148,0.01
199,199,-135.04816591377892,-123.63826125440562,0.01
