,episode,score,avg_score,epsilon
0,0,-226.52462124920353,-226.52462124920353,1.0
1,1,-57.34217483005189,-141.93339803962772,1.0
2,2,-119.2304402057018,-134.3657454283191,0.9984000000000002
3,3,-80.28514397352387,-120.84559506462028,0.9925000000000008
4,4,-21.372499796781057,-100.95097601105245,0.9810000000000021
5,5,-382.23878150528043,-147.83227692675712,0.9721000000000031
6,6,-246.17577216780484,-161.88134767547822,0.9642000000000039
7,7,-207.99887989863055,-167.64603920337225,0.9580000000000046
8,8,-247.14920325634063,-176.4797240981465,0.945600000000006
9,9,-129.93531180812982,-171.82528286914484,0.9384000000000068
10,10,-32.71054754385891,-159.1784887486643,0.927300000000008
11,11,-145.59067107548591,-158.04617060923277,0.9133000000000095
12,12,-82.36448909400646,-152.2245028003692,0.9048000000000105
13,13,-403.35104386333825,-170.1621128762956,0.8937000000000117
14,14,-94.60344574253735,-165.1248684007117,0.8871000000000124
15,15,-132.41589724186235,-163.0805577032836,0.8790000000000133
16,16,-16.512795111529883,-154.45892460965104,0.8712000000000142
17,17,-133.55311668260498,-153.29749083592625,0.8631000000000151
18,18,-106.81686768189097,-150.85114224887175,0.8515000000000164
19,19,-104.44955017247504,-148.53106264505192,0.8434000000000172
20,20,-67.93966733031675,-144.69337715387405,0.8359000000000181
21,21,-9.12873141000803,-138.53134780188017,0.8233000000000195
22,22,-12.447649522490778,-133.04944787668933,0.8116000000000207
23,23,-129.10631786309534,-132.88515079278955,0.8026000000000217
24,24,-234.5268684289547,-136.95081949823617,0.7869000000000235
25,25,-160.53163842386311,-137.85777407229872,0.772600000000025
26,26,-115.08856656123267,-137.0144700904074,0.7620000000000262
27,27,-235.1833536623294,-140.52050164654747,0.7516000000000274
28,28,-176.17223012836868,-141.7498715941965,0.7438000000000282
29,29,23.30186794278552,-136.24814694296376,0.7290000000000298
30,30,-221.276179046702,-138.9909866882456,0.7174000000000311
31,31,-295.4842027053043,-143.8813996887787,0.7043000000000326
32,32,-83.5902023183443,-142.05439370785646,0.6892000000000342
33,33,-96.82293176931327,-140.72405659201695,0.6805000000000352
34,34,-40.533632776775534,-137.86147305443862,0.6648000000000369
35,35,-108.98184525156427,-137.05926117102547,0.6489000000000387
36,36,-60.75389534579297,-134.99695398655973,0.63710000000004
37,37,-43.88523754535479,-132.59927723810696,0.6289000000000409
38,38,-118.30706222916118,-132.23281018659554,0.6160000000000423
39,39,-126.90929603646414,-132.09972233284225,0.5996000000000441
40,40,-270.7643579821357,-135.48178661697136,0.5837000000000458
41,41,-55.9784641847561,-133.5888503685853,0.5702000000000473
42,42,-122.71306345647369,-133.33592509155943,0.5610000000000483
43,43,-45.85678092227384,-131.3477627240757,0.5487000000000497
44,44,-59.671814941696525,-129.75496388446726,0.5393000000000507
45,45,-96.20026646905964,-129.02551394065406,0.5168000000000532
46,46,-119.48843758918433,-128.82259742253768,0.5036000000000547
47,47,-79.07746726659659,-127.78624054428887,0.49580000000005553
48,48,-149.9015475252417,-128.2375733398185,0.4851000000000567
49,49,-123.96437129610705,-128.15210929894428,0.4760000000000577
50,50,-141.2586044596449,-128.4090994001345,0.4625000000000592
51,51,-393.29594880499246,-133.50307727330485,0.44390000000006125
52,52,-41.68881249468568,-131.77073265484032,0.4226000000000636
53,53,-241.89421431366378,-133.81005638926297,0.40100000000006597
54,54,-64.16248003215419,-132.54373681913373,0.3872000000000675
55,55,-105.11221837141053,-132.0538882754244,0.36660000000006976
56,56,-20.177670119115263,-130.09114760601548,0.3519000000000714
57,57,-170.64295577606717,-130.79031671239568,0.33120000000007366
58,58,58.43222039566794,-127.5831550664963,0.31660000000007527
59,59,-115.65805564111788,-127.38440340940666,0.3028000000000768
60,60,-153.198798383605,-127.80759021226238,0.28320000000007894
61,61,-238.0607885670712,-129.5858676050819,0.26210000000008127
62,62,-151.01084975093306,-129.92594668676205,0.2356000000000842
63,63,-74.9100045505146,-129.06632259088317,0.2209000000000858
64,64,-76.877023674771,-128.26341029986608,0.20870000000008715
65,65,1.9896473832696842,-126.28987912284884,0.19160000000008903
66,66,-54.397045390355515,-125.21685175370715,0.17230000000009116
67,67,-133.841936359496,-125.34369123320405,0.15040000000009357
68,68,-205.69503723876994,-126.50820349415427,0.12630000000009622
69,69,-202.28431517344413,-127.59071937528697,0.10720000000009586
70,70,-92.52072237364494,-127.09677575554554,0.077400000000095
71,71,-229.59902896312008,-128.52041816120632,0.05390000000009433
72,72,-56.77810445674123,-127.53764674059722,0.03290000000009373
73,73,-84.99135719125263,-126.96269688182231,0.01
74,74,-2.6520709800308424,-125.30522186979843,0.01
75,75,-64.51592813901007,-124.50536274176174,0.01
76,76,-190.8015116231059,-125.36635168827269,0.01
77,77,-179.71222023416965,-126.06309359270726,0.01
