,episode,score,avg_score,epsilon
0,0,-335.34625308348785,-335.34625308348785,1.0
1,1,-47.938346713164606,-191.64229989832623,1.0
2,2,-49.194910080284515,-144.15983662564565,0.9963000000000004
3,3,-89.9253953916033,-130.60122631713506,0.9902000000000011
4,4,-106.49342708188539,-125.77966647008512,0.9797000000000022
5,5,-135.0475338890203,-127.32431103990764,0.9704000000000033
6,6,-466.7993059814939,-175.82073888870568,0.9603000000000044
7,7,-98.89661579176908,-166.2052235015886,0.9521000000000053
8,8,-159.15927306266735,-165.42234011948622,0.9427000000000063
9,9,-302.12937350858374,-179.09304345839598,0.9320000000000075
10,10,-227.26778119737162,-183.47256507103012,0.9219000000000086
11,11,-119.16726281263335,-178.1137898828304,0.9138000000000095
12,12,-137.33848847030117,-174.97722823571277,0.9079000000000101
13,13,-209.0837166684165,-177.4134059809059,0.8988000000000111
14,14,-280.7011472696876,-184.29925540015802,0.8880000000000123
15,15,-112.32134748130711,-179.80063615522982,0.8803000000000132
16,16,-223.61217328473344,-182.37778539814178,0.8695000000000144
17,17,-250.0829669143447,-186.13918437126415,0.8596000000000155
18,18,-301.44658260913013,-192.20799480483606,0.8520000000000163
19,19,-286.49649783519203,-196.92241995635385,0.8420000000000174
20,20,-137.41925483241738,-194.08893590283307,0.8329000000000184
21,21,-175.00029184537308,-193.2212702638576,0.8225000000000195
22,22,-317.6974784741579,-198.63327931647936,0.8122000000000207
23,23,-95.94437984196632,-194.354575171708,0.8042000000000216
24,24,-116.88879645826341,-191.25594402317023,0.7973000000000223
25,25,-85.09589416760505,-187.17286518257157,0.7902000000000231
26,26,-85.15901264164188,-183.39457434772234,0.7835000000000238
27,27,-83.04674194806482,-179.81072319059172,0.7757000000000247
28,28,-161.3982680542946,-179.1758109445125,0.7630000000000261
29,29,1.2698693290300298,-173.16095493539441,0.7532000000000272
30,30,-80.22524298810977,-170.16302874354653,0.7473000000000278
31,31,-142.49856606389693,-169.29851428480745,0.7392000000000287
32,32,-132.57587992244441,-168.18570718291767,0.7290000000000298
33,33,-393.13715521223247,-174.8019262426034,0.7177000000000311
34,34,-191.95367703992343,-175.29197626538397,0.7053000000000325
35,35,-146.3144121938797,-174.4870439300644,0.6982000000000332
36,36,-136.95876830184494,-173.47276621038282,0.6870000000000345
37,37,-107.29208139027435,-171.73116924143258,0.6786000000000354
38,38,-154.52964740237582,-171.29010457889268,0.6699000000000364
39,39,-65.42494737017297,-168.64347564867467,0.664000000000037
40,40,-88.51262618803949,-166.68906468622015,0.6585000000000376
41,41,-52.7005196997269,-163.97505171035127,0.6522000000000383
42,42,-208.69792753078082,-165.01511858989613,0.6438000000000392
43,43,-115.18313651679988,-163.8825735427803,0.6361000000000401
44,44,-310.2918078937315,-167.13611208391256,0.6266000000000411
45,45,-134.65771883504124,-166.43006005676318,0.618600000000042
46,46,-205.02415368437596,-167.25121098501026,0.609700000000043
47,47,-70.2418911489164,-165.23018348842496,0.5980000000000443
48,48,-58.84664839721472,-163.05909093554314,0.5923000000000449
49,49,-155.96008660280677,-162.9171108488884,0.5858000000000456
50,50,-4.471234461804357,-159.81032895894558,0.5762000000000467
51,51,-83.31414513450454,-158.33924850078327,0.5684000000000475
52,52,-67.75647426213776,-156.6301395528843,0.5622000000000482
53,53,-148.55807678453823,-156.48065690902604,0.5519000000000494
54,54,-148.4648157972848,-156.334914343358,0.5419000000000505
55,55,-98.91427579308507,-155.3095457978174,0.5345000000000513
56,56,-85.16661865894856,-154.07896812871442,0.5272000000000521
57,57,-60.69305710174079,-152.46886621445626,0.5211000000000527
58,58,-144.85389232140489,-152.33979886033674,0.5148000000000534
59,59,-362.8053302864584,-155.84755771743878,0.5044000000000546
60,60,-183.67121499667638,-156.30368324660662,0.49660000000005544
61,61,-88.99753859294353,-155.21810026832173,0.4872000000000565
62,62,-398.6517425755796,-159.0821263366909,0.47760000000005753
63,63,-129.82160538896937,-158.62493069688276,0.46760000000005864
