,episode,score,avg_score,epsilon
0,0,-271.2054279721583,-271.2054279721583,1.0
1,1,9.149531768888394,-131.02794810163496,1.0
2,2,-82.86955342884141,-114.97514987737044,1.0
3,3,-7.3829644446524725,-88.07710351919096,1.0
4,4,-255.37016564632683,-121.53571594461815,1.0
5,5,-211.256803558077,-136.48923054686128,1.0
6,6,-159.6976419722236,-139.8047178933416,1.0
7,7,-282.70148981501416,-157.66681438355067,1.0
8,8,-359.95860176907246,-180.14367964860864,1.0
9,9,-363.2237204375276,-198.45168372750055,1.0
10,10,-60.14162940699728,-185.8780424256366,1.0
11,11,-157.20341725960708,-183.4884903284675,0.999839999999999
12,12,-99.02238917644131,-176.99109793215777,0.9994749999999966
13,13,-101.0866995585878,-171.56935519118852,0.9990999999999941
14,14,-163.03345358277465,-171.0002950839609,0.9986749999999913
15,15,-74.5097468128674,-164.96963581701758,0.9983399999999891
16,16,-126.88129869030489,-162.7291453977992,0.9979099999999863
17,17,-386.77041174567205,-175.17588241712545,0.997399999999983
18,18,-134.55444694837746,-173.03791212929661,0.9970449999999806
19,19,-90.56929527110994,-168.91448128638729,0.9966099999999778
20,20,-307.1662761949057,-175.4979000915548,0.9960949999999744
21,21,-135.60733353391242,-173.6846925207529,0.9956149999999713
22,22,-310.1697698912377,-179.61882631946963,0.9949499999999669
23,23,-86.19554972953871,-175.72618979488917,0.9945399999999642
24,24,-44.233626068643645,-170.46648724583935,0.9938799999999599
25,25,-115.27398753057491,-168.34369879525227,0.9935499999999577
26,26,-59.51172216172879,-164.3128848458625,0.9932249999999556
27,27,-45.180241174881985,-160.0581475718989,0.9927749999999527
28,28,-97.81976781326688,-157.91199654573916,0.9923799999999501
29,29,-333.1023423448451,-163.7516747390427,0.991759999999946
30,30,-112.26673166312759,-162.0908701236906,0.9911649999999421
31,31,-345.4687306820348,-167.82142826613887,0.9905599999999382
32,32,-110.92946715793329,-166.0974294446781,0.9901399999999354
33,33,-463.19660924196364,-174.8356406151865,0.9896299999999321
34,34,-64.87180097284778,-171.6938166254054,0.9892999999999299
35,35,-292.50419596236634,-175.04966049587654,0.9887499999999263
36,36,-105.3954882469588,-173.16711529995985,0.9882999999999234
37,37,-425.25431559051,-179.80098899181644,0.9877999999999201
38,38,-237.96636378494722,-181.29240885830697,0.9873699999999173
39,39,-145.92042179735702,-180.4081091817832,0.987024999999915
40,40,-90.37935820236952,-178.21228598716334,0.9866549999999126
41,41,-497.6206235402461,-185.81724640509387,0.9860499999999086
42,42,-411.8076021648583,-191.0728360739256,0.9855349999999052
43,43,-178.2984809625912,-190.78250982139525,0.9849799999999016
44,44,-95.38775464219658,-188.66262637296862,0.9843849999998977
45,45,-59.20586770067839,-185.84834901052756,0.9840499999998955
46,46,-264.5498766026801,-187.52284959759461,0.9835899999998925
47,47,-182.60234610724677,-187.42033910821237,0.9829699999998884
48,48,-275.93682267056255,-189.2267979564236,0.9824249999998849
49,49,-203.58889154213327,-189.51403982813778,0.9818249999998809
50,50,-287.5767876440911,-191.4368388049212,0.9813649999998779
51,51,-119.59244416501164,-190.05521583107677,0.9810099999998756
52,52,-116.17370093864619,-188.6612249840498,0.9804949999998722
53,53,-115.49492747767277,-187.30629354874654,0.9801799999998702
54,54,-410.14283243001,-191.35786698295132,0.9796549999998667
55,55,-467.5655505162181,-196.29014704604535,0.9789899999998624
56,56,-115.05347368927883,-194.8649422503126,0.9785149999998592
57,57,-98.50712188637272,-193.20360051989982,0.9781399999998568
58,58,-92.47133379232987,-191.49627396519526,0.9777349999998541
59,59,-147.85534375465005,-190.76892512835283,0.977254999999851
60,60,-244.9062844020112,-191.65642282136363,0.9765899999998466
61,61,-196.23523087706587,-191.73027456419754,0.9762399999998443
62,62,-212.55563712069534,-192.06083587461814,0.9759299999998423
63,63,-234.24520923179045,-192.719966708324,0.97556999999984
64,64,-98.78882176831112,-191.27487217078533,0.9752199999998377
65,65,-307.14382256833574,-193.03046232832398,0.9748299999998351
66,66,-106.06578847450807,-191.73248212155062,0.9744499999998326
67,67,-115.6396569318983,-190.61346998640866,0.9741449999998306
68,68,-168.94158425259562,-190.29938468591862,0.9736499999998274
69,69,-281.94795247069607,-191.6086499399869,0.9733049999998251
70,70,-181.69667664694143,-191.46904468233836,0.9728649999998222
71,71,-55.29489905391544,-189.5777371041658,0.9722999999998185
72,72,-118.82508423415031,-188.6085226812889,0.9716749999998144
73,73,26.005527206295724,-185.70833281794313,0.9713549999998123
74,74,-302.21262715110237,-187.2617234090519,0.9709349999998096
75,75,-107.321033702631,-186.20987222870426,0.9705499999998071
76,76,-72.12689442455395,-184.72827511436466,0.9702499999998051
77,77,-69.31852075860769,-183.24866287903447,0.9699199999998029
78,78,-386.63109876047474,-185.8231240927236,0.9694899999998001
79,79,-137.7026871499177,-185.2216186309385,0.9689749999997967
80,80,-66.35670888428743,-183.7541506093749,0.9686249999997945
81,81,-71.6929298485589,-182.38755035619423,0.9680599999997908
82,82,-54.230516248458,-180.8434897042938,0.9674749999997869
83,83,-326.9158227687534,-182.58244605029927,0.9669099999997832
84,84,-183.0860933654306,-182.58837131283022,0.9663099999997793
85,85,-130.79520693991063,-181.98612521547068,0.9657599999997757
86,86,-240.78319370413084,-182.66195358890357,0.9653399999997729
87,87,-178.03128221546402,-182.6093323232963,0.9649999999997707
88,88,-63.416171319816286,-181.27008332325718,0.9647099999997688
89,89,-272.26212152861933,-182.28110596998343,0.9644049999997668
90,90,-264.0027217644279,-183.17914570398833,0.9638849999997634
91,91,-205.98929321597913,-183.4270820899882,0.9633199999997597
92,92,-154.8877763644096,-183.12020783487446,0.9628649999997567
93,93,-114.58103452541788,-182.3910676932845,0.9623549999997534
94,94,-104.33510835814997,-181.56942601607255,0.9618099999997498
95,95,-150.17107128024773,-181.24235982090772,0.9612699999997463
96,96,-96.3294399166987,-180.36696889406022,0.9608649999997436
97,97,-172.84921975985907,-180.29025716820104,0.9603999999997406
98,98,-74.7109683777233,-179.22379970567096,0.9599349999997375
99,99,-105.44667829028838,-178.48602849151715,0.9595899999997353
100,100,-113.66501226190972,-176.91062433441465,0.9590999999997321
101,101,8.75439561215127,-176.914575695982,0.9583399999997271
102,102,-115.89558566269609,-177.24483601832054,0.9579499999997245
103,103,-82.39176177208195,-177.99492399159485,0.9576249999997224
104,104,-258.4123141079656,-178.0253454762112,0.9570449999997186
105,105,-140.37224540586897,-177.31649989468914,0.956504999999715
106,106,-77.7592041882699,-176.49711551684962,0.9560949999997124
107,107,-59.602988926132156,-174.2661305079608,0.9556049999997092
108,108,-176.54210424668207,-172.4319655327369,0.9550049999997052
109,109,-136.3110954101714,-170.16283928246332,0.9546499999997029
110,110,-102.39067283586752,-170.58532971675203,0.9542799999997005
111,111,-64.76457259255967,-169.66094127008154,0.9539199999996981
112,112,-108.73853110992458,-169.7581026894164,0.9535049999996954
113,113,-128.65117246640298,-170.03374741849453,0.9530949999996927
114,114,-134.6153050382183,-169.74956593304898,0.9526899999996901
115,115,-118.683669390721,-170.19130515882753,0.952224999999687
116,116,-111.96440003979605,-170.04213617232242,0.9518199999996844
117,117,-86.00169569173102,-167.034449011783,0.9513349999996812
118,118,-371.6341148281859,-169.4052456905811,0.9508349999996779
119,119,-97.26373227647323,-169.47219006063474,0.9504749999996756
120,120,-127.29325841024256,-167.6734598827881,0.950084999999673
121,121,-164.93270411619176,-167.96671358861087,0.9497349999996707
122,122,-107.06527732391098,-165.93566866293762,0.9493399999996681
123,123,-166.9768381706209,-166.7434815473484,0.9488099999996646
124,124,-306.38218521302724,-169.36496713879228,0.9482649999996611
125,125,-107.58975483229355,-169.28812481180944,0.9477349999996576
126,126,-245.96842082855903,-171.15269179847775,0.9471349999996537
127,127,-129.0397769612187,-171.9912871563411,0.9467049999996509
128,128,-73.90614925430384,-171.75215097075147,0.9462999999996482
129,129,-146.43107651898407,-169.88543831249285,0.9457749999996448
130,130,-143.20432795583645,-170.19481427541996,0.9454749999996428
131,131,-265.38120747402735,-169.39393904333986,0.9451449999996406
132,132,-81.86583287101703,-169.1033027004707,0.9447649999996381
133,133,-263.0873977894542,-167.10221058594564,0.9444199999996359
134,134,-148.51424951955374,-167.9386350714127,0.9441199999996339
135,135,-183.5842954454696,-166.84943606624373,0.9436949999996311
136,136,-84.76375522712807,-166.64311873604544,0.9433999999996292
137,137,-107.82048673653533,-163.46878044750568,0.9429249999996261
138,138,-118.30025614628406,-162.27211937111903,0.9423749999996225
139,139,-83.72065292421306,-161.6501216823876,0.9418599999996191
140,140,-102.18386512356702,-161.76816675159955,0.9413449999996157
141,141,-138.5784190601019,-158.17774470679814,0.9407299999996117
142,142,-137.5330573357689,-155.43499925850725,0.9401999999996082
143,143,-186.40933345703573,-155.5161077834517,0.9399049999996063
144,144,-115.77468080520408,-155.71997704508175,0.9394999999996037
145,145,-93.12322657517721,-156.05915063382673,0.9391349999996013
146,146,-103.86846119144782,-154.4523364797144,0.9387749999995989
147,147,-52.8387117386252,-153.1547001360282,0.9384099999995965
148,148,-205.98791799955254,-152.4552110893181,0.9379199999995933
149,149,-89.35432999894016,-151.31286547388618,0.93740999999959
150,150,-97.815090150876,-149.415248498954,0.9369849999995872
151,151,-122.4183291734379,-149.44350734903827,0.9365299999995842
152,152,-277.8798072617708,-151.0605684122695,0.9359099999995801
153,153,-60.5036314329729,-150.51065545182254,0.9353849999995767
154,154,-117.45062806739077,-147.5837334081963,0.9349099999995736
155,155,-217.8952192656128,-145.08703009569027,0.9342499999995693
156,156,-477.8471940954589,-148.7149672997521,0.9336599999995654
157,157,-143.97580564686305,-149.16965413735699,0.9331849999995623
158,158,-156.93509368872793,-149.81429173632097,0.9326299999995586
159,159,-129.98370000935188,-149.63557529886802,0.9320549999995549
160,160,-95.300614035224,-148.13951859520014,0.9316549999995523
161,161,-142.70231342952454,-147.60418942072474,0.9311049999995487
162,162,-127.93142075450217,-146.7579472570628,0.9306899999995459
163,163,-159.33685426023402,-146.00886370734725,0.929944999999541
164,164,-78.98382433125066,-145.81081373297664,0.9295949999995388
165,165,-76.25527729471703,-143.50192828024043,0.9292749999995367
166,166,-168.08322325077293,-144.1221026280031,0.9288249999995337
167,167,-113.61452636406304,-144.1018513223247,0.9284549999995313
168,168,-83.95189433960329,-143.25195442319477,0.9279649999995281
169,169,-151.42773937215352,-141.94675229220937,0.9272899999995237
170,170,-80.08105190912993,-140.93059604483125,0.9268499999995208
171,171,-95.67433190331143,-141.33439037332522,0.9263299999995174
172,172,-122.35174458007788,-141.3696569767845,0.9259949999995152
173,173,-60.449258096296816,-142.23420482981044,0.9255449999995122
174,174,-282.74555605272207,-142.0395341188266,0.9250349999995089
175,175,-95.80976322861102,-141.9244214140864,0.9245549999995057
176,176,-59.91326116378509,-141.80228508147871,0.9242599999995038
177,177,-197.3641992381603,-143.08274186627423,0.9237299999995003
178,178,-172.54974351869618,-140.94192831385647,0.923224999999497
179,179,-328.9963777287508,-142.85486521964478,0.9227799999994941
180,180,-80.36899461514597,-142.99498807695335,0.9224349999994919
181,181,-201.9145809805383,-144.29720458827313,0.9219849999994889
182,182,-88.10356872258494,-144.63593511301443,0.9216049999994864
183,183,-71.32329664585154,-142.0800098517854,0.9212049999994838
184,184,-103.90441671580888,-141.28819308528918,0.9207399999994808
185,185,-234.74136581990703,-142.32765467408916,0.9203449999994782
186,186,-100.38309010487913,-140.92365363809665,0.9198799999994751
187,187,-122.66445373537235,-140.36998535329573,0.9195249999994728
188,188,-100.99322993819939,-140.74575593947958,0.9191649999994704
189,189,-96.33108308818723,-138.98644555507525,0.9185449999994664
190,190,-109.26403268061256,-137.4390586642371,0.9180799999994633
191,191,-130.13639001639925,-136.6805296322413,0.9175549999994599
192,192,-102.98076844250586,-136.16145955302224,0.9172099999994576
193,193,-209.55556711185002,-137.11120487888658,0.9165349999994532
194,194,-62.65082970601087,-136.6943620923652,0.9161449999994506
195,195,-97.69302226178385,-136.16958160218053,0.915594999999447
196,196,-164.46702439301896,-136.85095744694377,0.9150149999994432
197,197,-159.959190869407,-136.72205715803923,0.9145849999994404
198,198,-124.94731434868886,-137.2244206177489,0.9140749999994371
199,199,-211.37710642569118,-138.2837248991029,0.9136599999994344
