,episode,score,avg_score,epsilon
0,0,-284.8169348452919,-284.8169348452919,1.0
1,1,168.13813741407068,-58.3393987156106,0.9916000000000009
2,2,-176.41903771389366,-97.69927838170496,0.9835000000000018
3,3,-118.24245736286407,-102.83507312699473,0.9694000000000034
4,4,-83.3292462385965,-98.93390774931508,0.9608000000000043
5,5,-142.32118733680403,-106.16512101389658,0.9532000000000052
6,6,-199.35132214664162,-119.4774354614316,0.9433000000000062
7,7,-81.46227205717547,-114.72554003589957,0.9356000000000071
8,8,-218.58611260654249,-126.26560365485989,0.927700000000008
9,9,-86.9127672650357,-122.33032001587746,0.9205000000000088
10,10,-105.18082918544292,-120.77127539492886,0.90890000000001
11,11,-124.41943128811121,-121.0752883860274,0.9013000000000109
12,12,-137.64861627119257,-122.35015976180934,0.8937000000000117
13,13,-290.65381750802453,-134.3718496008247,0.8848000000000127
14,14,-154.08752682974406,-135.68622808275265,0.8778000000000135
15,15,-80.87207902359496,-132.2603437665553,0.8686000000000145
16,16,-94.07625182438639,-130.01422071113362,0.8598000000000154
17,17,-113.79538055625123,-129.11317403586236,0.8481000000000167
18,18,-134.1483798611651,-129.37818486877305,0.8388000000000178
19,19,-338.170610828476,-139.8178061667582,0.8281000000000189
20,20,-149.76417287161786,-140.2914426765134,0.81830000000002
21,21,-97.64602370295731,-138.35301454135177,0.8109000000000208
22,22,-257.6879360649293,-143.541489390203,0.8029000000000217
23,23,-79.73107867340731,-140.88272227700315,0.7961000000000225
24,24,-121.03981331140743,-140.0890059183793,0.7868000000000235
25,25,-102.84247253543295,-138.65644694211215,0.7761000000000247
26,26,-137.23689687346248,-138.60387101364364,0.7662000000000257
27,27,-118.7474010819202,-137.89471137322496,0.7589000000000266
28,28,-104.84084658312648,-136.75492293218707,0.7501000000000275
29,29,-173.59521569976556,-137.98293269110636,0.7385000000000288
30,30,-133.21232530965563,-137.82904213041442,0.7309000000000296
31,31,-128.6716031746341,-137.54287216304627,0.7201000000000308
32,32,-74.28988391649641,-135.62611494345384,0.7114000000000318
33,33,-184.24761601907153,-137.05615909273672,0.6994000000000331
34,34,-98.95536303890604,-135.96756491977015,0.691700000000034
35,35,-91.08621017317313,-134.72086062125356,0.6809000000000351
36,36,-97.5253303654594,-133.71557601974558,0.6681000000000366
37,37,-728.4846313245774,-149.36739326460957,0.6573000000000377
38,38,-249.91906550444128,-151.9456412707591,0.6477000000000388
39,39,-141.45917609204704,-151.6834796412913,0.6375000000000399
40,40,-9.779546671413527,-148.22240810544065,0.6229000000000415
41,41,12.17296175933052,-144.403470727708,0.6113000000000428
42,42,-87.97838846037475,-143.09125951218863,0.5936000000000448
43,43,-82.7208210662242,-141.71920409296214,0.5856000000000456
44,44,-65.63977071361994,-140.02855001786565,0.5753000000000468
45,45,-159.12850193454813,-140.44376636388048,0.5609000000000484
46,46,-110.9200613984435,-139.81560242844566,0.5524000000000493
