,episode,score,avg_score,epsilon
0,0,-366.5684706995637,-366.5684706995637,0.999019999999999
1,1,-93.37639139551557,-229.97243104753963,0.997039999999997
2,2,-354.6628700760558,-271.53591072371165,0.9950999999999951
3,3,-432.23365456489705,-311.710346684008,0.9932399999999932
4,4,-364.1979813836223,-322.2078736239308,0.990979999999991
5,5,-91.55223790507361,-283.765267670788,0.9896599999999897
6,6,-68.35327239492217,-252.99212548852142,0.9883399999999883
7,7,-159.6584215686936,-241.32541249854296,0.9867799999999868
8,8,-84.22761486964806,-223.87010165088796,0.9850999999999851
9,9,-336.6522023933222,-235.1483117251314,0.9826599999999827
10,10,-192.0237583094559,-231.22789777825182,0.9807599999999808
11,11,-378.5367581201519,-243.5036361400768,0.9786199999999786
12,12,-168.52445250695266,-237.73600662983648,0.9759199999999759
13,13,-269.6493426572657,-240.01553063179568,0.9741399999999741
14,14,-393.96047028382327,-250.27852660859753,0.9711199999999711
15,15,-99.96074209429554,-240.8836650764537,0.9696399999999696
16,16,-315.8521219483671,-245.29357430421328,0.9678999999999679
17,17,-221.52922211753574,-243.97333251606454,0.9653999999999654
18,18,-242.26936215613915,-243.88364986554217,0.9639399999999639
19,19,-324.8318552479954,-247.93106013466482,0.9617799999999618
20,20,-297.9517859385513,-250.31299945865942,0.9603399999999603
21,21,-111.72038536736433,-244.01333518178237,0.959039999999959
22,22,-167.08287449456972,-240.6685325432079,0.9576799999999577
23,23,-65.91619920316641,-233.38718532070618,0.9563199999999563
24,24,-337.3603572901543,-237.54611219948413,0.9540799999999541
25,25,-246.8680601830948,-237.9046486603922,0.9524799999999525
26,26,-198.40609132190238,-236.44173912933707,0.9506399999999506
27,27,-194.2727238018365,-234.93570286764063,0.9494999999999495
28,28,-243.8858650451206,-235.24432914962267,0.9473199999999473
29,29,-265.89297475895273,-236.2659506699337,0.9451999999999452
30,30,-106.73878321004653,-232.0876549454212,0.9433399999999433
31,31,-211.04327850622371,-231.43001818169625,0.9411399999999411
32,32,-335.22355359441735,-234.5752768305666,0.9390999999999391
33,33,-239.48863466049764,-234.71978735497635,0.9371399999999371
34,34,-50.69934605523599,-229.46206046069804,0.9355999999999356
35,35,-56.91629095017587,-224.66912241873908,0.9333399999999333
36,36,-400.2572306385353,-229.41474696522008,0.9307999999999308
37,37,-78.98102166893091,-225.45596472058088,0.9291999999999292
38,38,-288.80581892760875,-227.0803199566585,0.9268399999999268
39,39,-374.4325812760644,-230.76412648964364,0.9245799999999246
40,40,-353.28836698305594,-233.75252259923906,0.9226999999999227
41,41,-90.65496750751043,-230.3454379541979,0.921019999999921
42,42,-242.2590931646685,-230.62249970327863,0.9183999999999184
43,43,-104.25973036797916,-227.75061858202181,0.9153199999999153
44,44,-106.51998763058336,-225.05660456087875,0.9121599999999122
45,45,-42.167688380508515,-221.08075855695765,0.9105399999999105
46,46,-84.0325228645649,-218.16483864860888,0.9084999999999085
47,47,-76.88843206409524,-215.22158017809818,0.9072999999999073
48,48,-315.9943514810634,-217.27816734754646,0.9043399999999043
49,49,-333.65190315683833,-219.6056420637323,0.901979999999902
50,50,-246.3688574494334,-220.1304109928637,0.9003199999999003
51,51,-75.40813041235754,-217.34729021246935,0.8986799999998987
52,52,-131.44576124537838,-215.72650664705256,0.8961999999998962
53,53,-265.8487534323459,-216.65469640233576,0.8939199999998939
54,54,-59.29582379933605,-213.79362599137212,0.8912199999998912
55,55,-356.85697784659874,-216.34832870307258,0.888959999999889
56,56,-32.9921329459396,-213.13155333891234,0.8874399999998874
57,57,-303.4060194927883,-214.6880096519102,0.886019999999886
58,58,-441.14959342464203,-218.52634158026157,0.883959999999884
59,59,-183.64845993588204,-217.94504355285525,0.8823399999998823
60,60,-425.558727396969,-221.3485465666932,0.8798799999998799
61,61,-406.2837105509152,-224.33137179224516,0.8780799999998781
62,62,-66.62069599054006,-221.82802773190062,0.8768199999998768
63,63,-239.95686095835495,-222.111290751064,0.8751199999998751
64,64,-379.14894043583826,-224.5272545923682,0.8733599999998733
65,65,-458.39204763230015,-228.07066054751868,0.8714599999998714
66,66,-282.69687529669136,-228.88597718556605,0.8691999999998692
67,67,-48.94663049715132,-226.23981032250114,0.8678799999998679
68,68,-68.77930837112663,-223.95777406233628,0.8664199999998664
69,69,-102.94057129895533,-222.22895688000227,0.8641799999998642
70,70,-94.40076262444452,-220.4285597778113,0.8625599999998625
71,71,-206.2135910427472,-220.231129656491,0.8596199999998596
72,72,-126.2879019782735,-218.9442361266524,0.857959999999858
73,73,-346.0886832239329,-220.6624043306697,0.8562999999998563
74,74,-259.3385783940522,-221.1780866515148,0.853979999999854
