,episode,score,avg_score,epsilon,loss,avg_loss
0,0,-108.39334597754588,-108.39334597754588,1.0,0.0,0.0
1,1,-114.60849036885531,-111.5009181732006,0.9972000000000004,87.56304168701172,43.78152084350586
2,2,-108.80715241404864,-110.60299625348328,0.991400000000001,2.249784708023072,29.93760879834493
3,3,-244.75754193339944,-144.1416326734623,0.9875000000000014,87.98360443115234,44.44910770654678
4,4,-222.4866220745484,-159.81063055367954,0.9840000000000018,4.37357759475708,36.43400168418884
5,5,-136.29592798663754,-155.89151345917253,0.9776000000000024,84.48672485351562,44.44278887907664
6,6,-122.21358235854224,-151.08038044479676,0.972800000000003,55.92451477050781,46.08303543499538
7,7,-4.515705873899819,-132.75979612343465,0.9686000000000036,14.817720413208008,42.17487105727196
8,8,-131.88727213478438,-132.6628490135846,0.9655000000000038,12.838266372680664,38.91524831453959
9,9,-106.72466912141785,-130.06903102436794,0.9622000000000042,1.7472455501556396,35.1984480381012
10,10,-89.81157786925023,-126.40926255572089,0.9585000000000046,0.9651699662208556,32.08633184974844
11,11,-190.84896352199087,-131.77923763624338,0.954400000000005,53.6634521484375,33.88442520797253
12,12,-8.679541457255183,-122.31003023785968,0.9497000000000057,36.85917282104492,34.11325194743964
13,13,-67.51660369343296,-118.39621405611491,0.9424000000000065,66.62324523925781,36.43539432542665
14,14,-291.5967258029087,-129.9429148392345,0.9389000000000068,139.67576599121094,43.31808576981226
15,15,-237.9629079036153,-136.6941644057583,0.9354000000000072,203.42117309570312,53.324528727680445
16,16,-214.7434053803553,-141.28529622779342,0.9311000000000076,32.03635025024414,52.07228293489008
17,17,-221.0527629460697,-145.71682215658657,0.9257000000000082,52.74928665161133,52.1098942524857
18,18,-143.77593285721815,-145.61467008819875,0.9189000000000088,95.81822204589844,54.41033255740216
19,19,-164.0822282092871,-146.5380479942532,0.9130000000000096,90.61470794677734,56.22055132687092
20,20,-335.4910098773696,-155.5358080839254,0.90820000000001,58.09567642211914,56.309842998073215
21,21,-168.60558741601417,-156.12988896265668,0.9036000000000106,101.17135620117188,58.349002689123154
22,22,-117.22411985943523,-154.43833378425575,0.8972000000000113,63.8197135925293,58.58685968492342
23,23,-257.0410834290002,-158.71344835278677,0.8927000000000118,2.2579803466796875,56.23982304582993
24,24,-118.3748832948844,-157.09990575047067,0.8887000000000123,5.613815784454346,54.214782755374905
25,25,-233.7947729690312,-160.04970833579995,0.8848000000000127,3.2902843952178955,52.25614820306118
26,26,-105.27795462336223,-158.02112486496893,0.8794000000000133,2.6062235832214355,50.41726210603007
27,27,-208.2113217230011,-159.8136318956129,0.8750000000000138,25.649980545043945,49.532716335994856
28,28,-185.97489098209803,-160.71574427790551,0.8711000000000142,8.293782234191895,48.11068412558786
29,29,-154.32066612338713,-160.50257500608822,0.8677000000000146,53.98785018920898,48.3065896610419
30,30,27.76811900449708,-154.42932681219838,0.863600000000015,38.24262619018555,47.981945678111046
31,31,-242.2010615480933,-157.17219352269507,0.8582000000000156,2.1166162490844727,46.548654133453965
32,32,-76.17010901993453,-154.7175849013993,0.8542000000000161,5.213583946228027,45.29607624899257
33,33,-103.76600937214656,-153.21900915053894,0.8498000000000165,42.81731414794922,45.22317148131483
34,34,-151.86186703453234,-153.1802336615102,0.8431000000000173,9.548410415649414,44.20389259372439
35,35,-51.735365162905815,-150.36232064766006,0.8396000000000177,3.693294525146485,43.07859820293056
36,36,-125.00511046103776,-149.6769906426162,0.8342000000000183,136.99261474609375,45.61681486625929
37,37,-297.28198650955414,-153.56133263911457,0.8296000000000188,67.6163330078125,46.1957495541949
38,38,-96.44849353025988,-152.09690086709264,0.8259000000000192,18.096067428588867,45.47524488430757
39,39,-87.00515279901805,-150.46960716539078,0.8196000000000199,51.10618209838867,45.6160183146596
40,40,-125.40818590245227,-149.85835298824597,0.8139000000000205,2.760117530822754,44.57075244188309
41,41,-173.2689168208131,-150.41574736521184,0.8100000000000209,20.53496360778809,43.998471755357016
42,42,-173.5941336075968,-150.95477960340685,0.8061000000000214,66.07588958740234,44.511900077032486
43,43,-160.86357860425665,-151.1799795806989,0.8008000000000219,51.04085922241211,44.66028551215475
44,44,-157.45191131022992,-151.31935584135513,0.7951000000000226,64.92558288574219,45.11062545379003
45,45,-16.720381692374332,-148.3932911859425,0.791100000000023,6.733620643615723,44.27634274052537
46,46,-180.9855906203241,-149.08674436539744,0.7870000000000235,30.65011978149414,43.98642310309917
47,47,-303.81219385839825,-152.31019122983494,0.7793000000000243,128.41241455078125,45.745297924925886
48,48,-61.866300989441136,-150.46439755145954,0.773300000000025,60.64599990844727,46.049393883773256
49,49,-151.35846653216504,-150.4822789310737,0.7634000000000261,58.12654113769531,46.2909368288517
50,50,-103.59193766734484,-149.5628604749221,0.7591000000000265,141.1656951904297,48.151226208490485
51,51,-245.3772042187006,-151.4054440084563,0.7540000000000271,3.216603994369507,47.287098858218926
52,52,-392.0419240574174,-155.94575495277633,0.7482000000000277,164.64511108398438,49.5014009756862
53,53,-150.11989869077263,-155.83786872570218,0.7382000000000288,40.95812225341797,49.34319211045901
54,54,-148.74308804972304,-155.7088727134117,0.7334000000000294,129.09230041503906,50.79317589781501
