,episode,score,avg_score,epsilon
0,0,-229.86511585998184,-229.86511585998184,0.9988000000000001
1,1,-110.1588789027294,-170.01199738135563,0.9864000000000015
2,2,-271.81736717361713,-203.94712064544282,0.9768000000000026
3,3,-310.2303367128038,-230.51792466228306,0.9675000000000036
4,4,-145.4677485966787,-213.5078894491622,0.9583000000000046
5,5,-101.48927169043824,-194.83811982270822,0.9479000000000057
6,6,-118.73000617732804,-183.96553215908247,0.9395000000000067
7,7,-296.6237716233411,-198.04781209211478,0.9294000000000078
8,8,-392.0232832318799,-219.60064221875533,0.9205000000000088
