,episode,score,avg_score,epsilon
0,0,-369.8168167062724,-369.8168167062724,1.0
1,1,-188.53971723916368,-279.178266972718,0.9995400000000021
2,2,-102.12449688232343,-220.16034360925315,0.9986000000000064
3,3,-187.81015822029994,-212.07279726201486,0.9974300000000117
4,4,-170.25667821202123,-203.70957345201614,0.9967300000000149
5,5,-79.96478943661987,-183.08544278278342,0.9960200000000181
6,6,-229.28203843085046,-189.684956446793,0.9953300000000213
7,7,-90.5331623242206,-177.29098218147143,0.9945900000000246
8,8,-320.4548090622389,-193.19807405711225,0.9936600000000289
9,9,-121.03999067903356,-185.9822657193044,0.992310000000035
10,10,-145.87160500928306,-182.33584201839335,0.9913300000000395
11,11,-88.92588870471465,-174.55167924225347,0.9906200000000427
12,12,-93.486644087572,-168.31590730727797,0.9896300000000472
13,13,-211.83970295318778,-171.4247498534144,0.9888700000000507
14,14,-172.00234079709554,-171.4632559163265,0.988130000000054
15,15,-175.23113582807994,-171.69874841081105,0.9871700000000584
16,16,-76.1064719434154,-166.07567332449366,0.9864000000000619
17,17,-179.35994052884334,-166.81368816917973,0.9855200000000659
18,18,-125.91370859231174,-164.66105766513405,0.9845300000000704
19,19,-80.65887108536324,-160.46094833614552,0.9839200000000732
20,20,-98.09835328378219,-157.49130095269965,0.982870000000078
21,21,-143.6019835297831,-156.85996834256707,0.9819300000000822
22,22,-101.43051579429846,-154.44999214481626,0.9806300000000882
23,23,-297.41762082233265,-160.4069766730461,0.9795400000000931
24,24,-83.93525992578512,-157.34810800315566,0.9788800000000961
25,25,-70.56412816698574,-154.01026262484146,0.9780900000000997
26,26,-350.0075692984069,-161.2694221312698,0.9773800000001029
27,27,-120.84100362949513,-159.8255500419207,0.9763800000001075
28,28,-135.48876415701838,-158.98635052864822,0.9756700000001107
29,29,-129.22500714543943,-157.9943057492079,0.9749900000001138
30,30,-140.18628919735033,-157.41985360237382,0.9741600000001176
31,31,-273.5622692198891,-161.04930409042117,0.972980000000123
32,32,-86.40703950437366,-158.78741728478337,0.9720000000001274
33,33,-299.4135807424976,-162.9234809158926,0.9710200000001319
34,34,-63.38715149284259,-160.07958578951974,0.9700100000001365
35,35,-54.19282705329978,-157.13828693573586,0.9688500000001418
36,36,-109.73989190687533,-155.85724923225314,0.9677300000001469
37,37,-168.76824526422956,-156.1970122857262,0.9665400000001523
38,38,-379.0586573239406,-161.91141344055222,0.9654300000001573
39,39,-251.25533270748898,-164.14501142222562,0.9642000000001629
40,40,-95.76208553946267,-162.4771351811826,0.9631600000001677
41,41,-253.110799906789,-164.63507957941133,0.9618200000001738
42,42,-139.65433705768066,-164.05413207890598,0.9605700000001794
43,43,-234.1572696636788,-165.64738520583262,0.9598300000001828
44,44,-84.76060977003296,-163.8499013072593,0.959140000000186
45,45,-127.42822862899412,-163.05812581425354,0.9581300000001906
46,46,-104.301729689522,-161.8079897264933,0.9569700000001958
47,47,-232.11571452712087,-163.27273399317303,0.9562500000001991
48,48,-64.74413959382863,-161.2619463523701,0.9551000000002043
49,49,-86.27229801705222,-159.76215338566374,0.9537400000002105
50,50,-370.69789350902226,-163.8981482900433,0.952540000000216
51,51,-208.94719991028387,-164.76447620581718,0.9515700000002204
52,52,-180.85504934925456,-165.06807192550468,0.9508200000002238
53,53,-83.24722757135204,-163.5528711041315,0.9499700000002277
54,54,-116.79305961706342,-162.7026927134575,0.9491200000002316
55,55,-93.25522525903524,-161.46255936605712,0.9484700000002345
56,56,-104.39197522792699,-160.4613210478443,0.9476700000002382
57,57,-100.57638747230061,-159.42882219309354,0.9467600000002423
58,58,-112.27826698173466,-158.62966024035865,0.9458900000002463
59,59,-346.0788881832449,-161.75381403940676,0.9449100000002507
60,60,-103.38923091591377,-160.79701759475935,0.9440100000002548
61,61,-142.29754993345722,-160.49863908409318,0.9427800000002604
62,62,-77.22886029939555,-159.17689656370118,0.9418200000002648
63,63,-123.87430315568223,-158.62529354170084,0.9409600000002687
64,64,-198.9555997256693,-159.24575979068496,0.9399500000002733
65,65,-102.82701883773557,-158.39093038230695,0.9392000000002767
66,66,-77.60779491160372,-157.1852119424457,0.9382400000002811
67,67,-80.09371900116597,-156.05151351683867,0.9375400000002843
68,68,-56.30832182829003,-154.60596001410607,0.9367700000002878
69,69,-177.1157947443685,-154.92752908168123,0.935620000000293
70,70,-107.74012615038549,-154.26291777278973,0.9346300000002975
71,71,-218.1727479570801,-155.15055430312714,0.9335500000003024
72,72,-92.82328356519527,-154.2967560738404,0.9323700000003078
73,73,-95.658301382228,-153.50434452395376,0.9313700000003123
74,74,-232.40546317426174,-154.55635943929119,0.9306000000003158
75,75,-158.86186134194054,-154.61301078011553,0.9299200000003189
76,76,-67.64119495565907,-153.4835066784992,0.9292900000003218
77,77,-90.0993057742074,-152.67088871818777,0.928580000000325
78,78,-265.54878214444904,-154.09972281219106,0.9275300000003298
79,79,-54.519505408901665,-152.85497009464996,0.9267700000003333
80,80,-110.89092077053154,-152.33689541163614,0.9260300000003366
81,81,-129.90292382569947,-152.06331039229545,0.9248200000003421
82,82,-240.73767126854287,-153.13167618598519,0.9240400000003457
83,83,-83.81781175519603,-152.3065111332377,0.9224100000003531
84,84,-126.69753414897656,-152.0052290510699,0.9212700000003583
85,85,-232.56545752267516,-152.941975893763,0.920460000000362
86,86,-137.68166710482473,-152.7665700456143,0.9194700000003665
87,87,-137.8581411218097,-152.59715608057104,0.9185200000003708
88,88,-78.18312061016893,-151.76104332247664,0.9175300000003753
89,89,-332.0168411849638,-153.76388552094872,0.9165900000003796
90,90,-107.26977867965836,-153.25296126994553,0.915850000000383
91,91,-89.3813942984052,-152.55870510721138,0.914970000000387
92,92,-104.72938184842941,-152.04441130872985,0.9142200000003904
93,93,-96.40266519057538,-151.4524778393878,0.9131200000003954
94,94,-211.44673761893736,-152.08399636338305,0.9124200000003986
95,95,-117.45665276600795,-151.7232948675771,0.9115300000004026
96,96,-10.72622871377068,-150.26971686599146,0.9097800000004106
97,97,-193.87101242160173,-150.71462804513033,0.9088800000004147
98,98,-10.2051830605008,-149.29534072205328,0.9078200000004195
99,99,-212.34673100318835,-149.92585462486463,0.9067500000004244
100,100,-200.42348913879403,-148.23192134918983,0.9057100000004291
101,101,-202.30978534085114,-148.3696220302067,0.9044500000004349
102,102,-134.6885760291434,-148.69526282167487,0.9034500000004394
103,103,-169.69660288522624,-148.51412726832416,0.9024000000004442
104,104,-53.87111609447454,-147.3502716471487,0.9016200000004477
105,105,-63.28788527066293,-147.18350260548914,0.9010300000004504
106,106,-69.98803987674522,-145.59056261994806,0.9002800000004538
107,107,-98.6839309111583,-145.67207030581747,0.899140000000459
108,108,-276.5113498134432,-145.2326357133295,0.8984100000004623
109,109,-211.44720662604766,-146.13670787279966,0.8974400000004668
110,110,-86.79095164510645,-145.5459013391579,0.8963600000004717
111,111,-96.96214741753192,-145.62626392628604,0.8953400000004763
112,112,-108.72660690436085,-145.77866355445397,0.894080000000482
113,113,-70.3988255521711,-144.3642547804438,0.893420000000485
114,114,-42.34319369200878,-143.0676633093929,0.8926400000004886
115,115,-53.09407918334209,-141.84629274294554,0.8919600000004917
116,116,-148.2811589663574,-142.56803961317496,0.891010000000496
117,117,-81.73735380208385,-141.59181374590736,0.8902900000004993
118,118,-179.94766356346668,-142.13215329561888,0.8895000000005029
119,119,-114.47100962294918,-142.47027468099478,0.8884900000005075
120,120,-77.87314666139793,-142.26802261477093,0.8875800000005116
121,121,-357.72917801680535,-144.40929455964113,0.8864500000005168
122,122,-88.69027497234201,-144.28189215142157,0.8858500000005195
123,123,-64.39091117465767,-141.9516250549448,0.8851600000005226
124,124,-186.4903487036285,-142.97717594272322,0.8840300000005278
125,125,-48.00976522003966,-142.75163231325377,0.883320000000531
126,126,-132.79214813341247,-140.57947810160383,0.8827200000005337
127,127,-167.722998711895,-141.04829805242784,0.8819300000005373
128,128,-336.8515343870786,-143.06192575472846,0.8809700000005417
129,129,-121.88650848737848,-142.98854076814783,0.8801100000005456
130,130,-92.20816090002496,-142.50875948517455,0.8792000000005498
131,131,-83.3569486148563,-140.60670627912424,0.8783300000005537
132,132,-63.19885311371847,-140.37462441521768,0.877610000000557
133,133,-220.40799656494812,-139.5845685734422,0.8766200000005615
134,134,-133.96268155973632,-140.29032387411115,0.8757000000005657
135,135,-130.85151872081053,-141.05691079078625,0.8749400000005692
136,136,-102.89256932527877,-140.98843756497027,0.8739500000005737
