,episode,score,avg_score,epsilon,loss,avg_loss
206,206,-279.1693621636918,-300.67264391951414,0.01,328.58026123046875,326.30676949977874
207,207,-479.46338413948695,-304.7396842586428,0.01,1101.457763671875,337.19164487361905
208,208,-292.54415215558396,-303.75242037832237,0.01,13.452424049377441,337.22202778339386
209,209,-299.1966798101206,-303.5102413366683,0.01,39.270843505859375,333.511306347847
210,210,-340.9984452615965,-305.4986290990506,0.01,53.42206954956055,319.43872406482694
211,211,-276.87600843242933,-307.74725684114657,0.01,692.5185546875,326.1311386156082
212,212,-284.1444729308143,-309.40300674625894,0.01,10.694520950317383,320.66005892276763
213,213,-192.2995021654914,-305.91052651907927,0.01,333.8362121582031,323.88284293651583
214,214,-254.38255259707253,-304.83762932105566,0.01,284.79638671875,321.0207707929611
215,215,-317.8838436075866,-303.78500531863466,0.01,32.8443489074707,317.9336680173874
216,216,-360.7063221814843,-303.4919856898896,0.01,26.17287826538086,306.4137366437912
217,217,-303.34267257810825,-304.7915021701304,0.01,29.28449821472168,300.883326010704
218,218,-256.9715548725301,-306.8526862912225,0.01,74.48583221435547,298.15350446224215
219,219,-442.56363147036245,-310.0109786327282,0.01,14.235526084899902,282.9726956605911
220,220,-199.42493011762352,-310.1468337456974,0.01,461.2249755859375,282.2795908021927
221,221,-106.32460241015406,-309.48790255903873,0.01,65.51649475097656,273.25172657489776
222,222,-297.60938569433745,-311.1256481199235,0.01,4.373575687408447,263.7335342311859
223,223,-127.02602059060158,-308.3214398516919,0.01,15.460205078125,257.6778768825531
224,224,-263.6850334871076,-309.44274398310375,0.01,339.77728271484375,260.699205121994
225,225,-261.96164142824665,-310.11175445925096,0.01,624.8590698242188,266.8225010204315
226,226,-127.00185908427916,-309.70978253785887,0.01,17.727136611938477,263.17768193244933
227,227,-261.65157149000305,-309.4815316701677,0.01,4.474934101104736,262.948261885643
228,228,-144.08612773914635,-309.96317856318586,0.01,471.9205017089844,257.182595076561
229,229,-192.26024885760614,-308.01557269716767,0.01,1076.202880859375,264.4328984212875
230,230,-451.8763482719335,-308.41012389336424,0.01,7.636844158172607,264.18174134254457
231,231,-369.46334108417705,-308.8062725089721,0.01,71.76976776123047,264.7956830501556
232,232,-390.17717153703666,-311.95711971555585,0.01,3.441420555114746,259.25152181625367
233,233,-265.9942420647092,-310.99743415675215,0.01,7.44049072265625,253.54878316879274
234,234,-184.69055192854572,-308.7410235920517,0.01,702.1033935546875,253.22428060531615
235,235,-157.28017809116443,-306.7597711920332,0.01,10.517618179321289,253.17695652008058
236,236,-336.35421050302693,-307.1070725360717,0.01,12.757115364074707,247.49906746864318
237,237,-160.88655071430864,-307.8164938027728,0.01,20.84864616394043,246.48793250083924
238,238,-107.59708704644417,-306.10419314907335,0.01,285.1138916015625,249.06061802864076
239,239,-302.27388941724035,-309.5113932925681,0.01,9.483983039855957,248.89098873138428
240,240,-385.9737485569593,-311.76484459274553,0.01,35.131935119628906,245.35181949615477
241,241,-88.82239143542931,-312.2914564386398,0.01,7.677283763885498,245.1797660779953
242,242,-161.87582719813526,-311.38347473411335,0.01,5.146953105926514,244.98813576698302
243,243,-161.20567951072843,-309.24584995915677,0.01,607.6944580078125,250.8575469303131
244,244,-289.3903400260208,-309.470980713018,0.01,29.904483795166016,242.72918393135072
245,245,-357.41206001211106,-313.3588550251333,0.01,34.44499588012695,242.91553097724915
246,246,-300.904950573915,-312.2629412038683,0.01,23.320096969604492,242.93000191688537
247,247,-310.26093652579095,-314.66652776479475,0.01,12.126850128173828,242.81365332603454
248,248,-528.3898512303331,-317.2813142706319,0.01,10.849527359008789,237.94233902931214
249,249,-174.32795977406144,-318.7813948353508,0.01,6.015932559967041,226.6339192533493
250,250,-186.00898266566855,-317.3015876599464,0.01,428.5032653808594,230.30267642498018
251,251,-386.78795035873634,-316.2579518139993,0.01,464.6530456542969,234.4610622739792
252,252,-123.79124620961971,-313.6215994122473,0.01,16.91357421875,233.89644000530242
253,253,-157.56431355130917,-311.90242103875335,0.01,32.09364700317383,233.91394559383392
254,254,-303.49804396559273,-309.7907564763046,0.01,381.79534912109375,227.52698697566987
255,255,-150.33319764267395,-307.58358388834085,0.01,762.8735961914062,230.7708797979355
256,256,-194.09954612062933,-305.96342603692375,0.01,1661.0084228515625,241.9866201543808
257,257,-292.1024517400553,-305.99854389066076,0.01,39.44445037841797,242.07720363140106
258,258,-198.35111381939154,-304.6592312863433,0.01,419.4285888671875,240.84789882183074
259,259,-325.14736443210404,-304.0858773433225,0.01,30.785297393798828,240.88201102733612
